1,1193,5
5,1046,5
8,1120,4
10,1282,5
11,1753,4
15,3798,4
17,198,4
18,2402,2
19,3717,4
22,2338,1
23,2268,3
25,2716,5
26,2418,2
28,2918,5
31,1077,3
33,296,3
34,3408,4
36,2580,5
37,2791,5
41,110,2
44,1274,3
45,1380,3
48,1358,3
48,267,2
49,2947,4
53,3044,5
53,1009,4
54,1304,4
58,3148,5
59,1252,4
61,3624,3
62,3450,4
63,2858,5
68,3571,4
73,2353,3
75,2628,5
78,11,3
82,2762,5
87,2006,5
90,3751,3
92,2717,4
93,1752,1
96,527,5
100,648,2
102,2012,2
107,1283,5
110,2985,3
114,1032,5
117,3070,5
117,3694,2
119,3114,5
123,3005,4
123,223,4
124,1094,4
128,1282,5
130,480,1
131,1240,4
134,1517,2
136,1296,4
137,2995,3
139,2078,5
142,1617,3
146,930,5
147,2054,4
148,1370,4
148,262,4
149,1293,5
149,3635,4
150,1682,4
151,101,3
151,3785,3
156,1959,4
157,185,3
161,750,5
162,3535,3
163,1684,1
165,1262,3
166,2700,2
169,3863,2
169,3527,4
170,277,4
173,970,5
173,3914,4
175,3281,4
178,900,5
181,2231,4
182,2706,5
186,3016,3
187,1678,4
189,2541,5
192,692,2
192,1036,4
193,3634,4
195,1373,3
195,2582,4
195,480,4
198,153,3
199,954,2
200,1911,2
202,2501,3
202,3717,4
